ID,space_alias_name,space_type,space_category,department_occupied
1343,Office - hotdesk,Office,Academic - Faculty,University of Exeter Medical School
1344,Prayer Room,Other Space,Academic - Faculty,University of Exeter Business School
1345,Guild CEO Space,Office,Other,Student Guild
1346,Service Duct,Balance Space,Other,Balance
1347,Geography Workshop,Workshops,Academic - Faculty,Geography
1348,Tank Room,Balance Space,Other,Balance
1349,Academic,Office,Academic - Faculty,Portuguese (ML)
1350,Alumni Auditorium,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
1351,Laundry,Other Space,Residential,Residence Operations
1352,Balance Space Level 8,Balance Space,Residential,Balance
1353,Media Suite - Exepos̩,Other Space,Other,Student Guild
1354,Electrics in Refectory Store,Balance Space,Other,Balance
1355,Kitchen,Other Space,Residential,Residence Operations
1356,Constantine Teaching Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1357,Main Circulation,Balance Space,Other,Balance
1358,Filing & Storage,Storage Space,Academic - Faculty,University of Exeter Medical School
1359,LIBRARY - STUDENTS' COMMON ROOM,Social Space,Support,Social Space Streatham
1360,Annex 'B' Corridor,Balance Space,Other,Balance
1361,Stair 12,Balance Space,Other,Balance
1362,Meeting Room,Meeting Room,Academic - Faculty,University of Exeter Medical School
1363,Estate Patrol Store,Storage Space,Support,Estate Patrol
1364,Office,Office,Support,Capital Development
1365,Enterprise Room,Specialist Area,Other,University College Falmouth
1366,Store,Storage Space,Support,Strategic Delivery Unit
1367,Halpin Discussion Room,Study Space,Academic - Faculty,University of Exeter Business School
1368,Plant Tank Room,Balance (Building Service) Space,Residential,Balance
1369,Digital Printing,Specialist Area,Other,University College Falmouth
1370,Grove Diner Lobby,Balance Space,Other,Balance
1371,Guild Office,Office,Other,Student Guild
1372,Seminar Room 6,Seminar Room,Other,Other
1373,Xpression FM - Store,Other Space,Other,Student Guild
1374,Sump (below 035),Balance Space,Other,Balance
1375,Academic Office - Prof Campbell,Office,Academic - Faculty,University of Exeter Medical School
1376,Cleaner's Store,Balance Space,Other,FXplus Cleaners
1377,Open plan offices,Office,Academic - Faculty,University of Exeter Business School
1378,Hoist,Balance Space,Other,Balance
1379,Camper Coffee,Retail Outlets,Other,Third Party Accounts
1380,Meeting Room,Meeting Room,Support,Hubs
1381,Kitchen,Bedroom,Residential,Residence Operations
1382,Control Room 2,Specialist Area,Other,University College Falmouth
1383,Plaster Room,Specialist Area,Other,University College Falmouth
1384,Landing Circulation,Balance Space,Other,Balance
1385,Digital Humanities 3D Makerspace,Specialist Area,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1386,Stair 09b,Balance Space,Other,Balance
1387,Cleaner's Cupboard,Balance Space,Other,Balance
1388,Showers,Balance Space,Other,Balance
1389,IT,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
1390,Great Hall Link Corridor,Balance Space,Other,Balance
1391,Student Advice Unit - Office 3,Office,Other,Student Guild
1392,Goods Lift Lobby,Balance Space,Other,Balance
1393,Academic,Office,Academic - Faculty,"Languages, Cultures and Visual Studies"
1394,WC/Shower,Balance Space,Other,Balance
1395,Academic,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1396,Annexe B,Storage Space,Academic - Faculty,Faculty of Health and Life Sciences
1397,Gallery,Specialist Area,Other,University College Falmouth
1398,Student Recruitment - Admissions,Office,Support,Admissions
1399,Mobile Shelving (Books & Journals),Library,Support,Combined Services
1400,Gantry Access,Specialist Area,Academic - Faculty,Geography
1401,Tea Point & Storage Area,Other Space,Support,Student Services Centre (SID)
1402,Clinic Room 6,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1403,Electrics,Balance Space,Other,Balance
1404,External Store,Balance Space,Other,Balance
1405,Corridor/Lobby space,Balance Space,Other,Balance
1406,Clinic Room 12,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1407,Lift Lobby,Balance Space,Other,Other
1408,Servery,Other Space,Support,Retail Catering - Front of House
1409,Kitchen Store,Central Catering,Support,Catering and Food Services
1410,Toilet,Balance Space,Other,Balance
1411,Parker Moot LT Raked,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
1412,Pan Washing,Central Catering,Support,Social Space Penryn
1413,Open Labs,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1414,AUDITORIUM,Other Space,Other,Northcott Theatre
1415,IT Workshop,Workshops,Academic - Faculty,Faculty of Health and Life Sciences
1416,Cleaner's Store,Central Catering,Support,FXplus Cleaners
1417,Group Work Pod,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1418,Serviced Void 5,Balance Space,Other,Balance
1419,Riser 04,Balance Space,Other,Balance
1420,Doctoral College Office,Office,Support,Doctoral College
1421,Store,Storage Space,Academic - Faculty,University of Exeter Medical School
1422,TQAE Store,Storage Space,Support,Learning Experiences and Innovation
1423,Academic,Office,Academic - Faculty,Spanish (FLC)
1424,Stair 6 (SSC),Balance Space,Other,Balance
1425,Door Circ,Balance Space,Other,Balance
1426,Ceramic Studio,Specialist Area,Other,University College Falmouth
1427,Circulation (horizontal),Balance Space,Other,Balance
1428,Henderson Lecture Theatre,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
1429,Meeting Room 3,Meeting Room,Academic - Faculty,Clinical and Biomedical Sciences
1430,Music Store 3,Other Space,Other,Student Guild
1431,The Deck - flexible activity space,Other Space,Support,Exeter Innovation
1432,MI Office,Laboratory,Academic - Faculty,Medical Imaging (Radiography)
1433,Director - GA,Office,Support,Global Advancement
1434,Meeting Room,Meeting Room,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1435,Bridge,Balance Space,Other,Balance
1436,Stair 1,Balance Space,Other,Balance
1437,Cleaner Store,Balance Space,Other,Balance
1438,Bev Bay,Laboratory,Academic - Faculty,University of Exeter Medical School
1439,Office,Office,Academic - Faculty,"Languages, Cultures and Visual Studies"
1440,Serviced Void 2,Balance Space,Other,Balance
1441,Stair 02,Balance Space,Other,Balance
1442,Office,Office,Support,Combined Services
1443,PCR,Specialist Area,Other,Other
1444,Student Comms/Social Media Team,Office,Support,External Engagement and Global
1445,Waiting Room,Social Space,Other,Third Party Accounts
1446,Stair 4 (Seminar),Balance Space,Other,Balance
1447,Serviced Void 3,Balance Space,Other,Balance
1448,Balance Space,Balance Space,Residential,Residence Operations
1449,Meeting Room,Meeting Room,Support,External Engagement and Global
1450,Digital Humanities Breakout,Social Space,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1451,Serviced Void 1,Balance Space,Other,Balance
1452,Finance (FICS / PS Connect Collaborative Shared),Office,Support,Financial Planning and Reporting
1453,Gallery Circulation,Balance Space,Other,Balance
1454,Corridor,Balance Space,Other,Third Party Accounts
1455,Store,Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
1456,Office,Office,Support,Event Exeter
1457,Film Processing,Specialist Area,Other,University College Falmouth
1458,Post Room,Storage Space,Academic - Faculty,Geography
1459,Corridor,Balance Space,Other,Other
1460,Shop,Retail Outlets,Residential,Residence Operations
1461,Racked Lecture Theatre 4,Lecture Theatre,Academic - Central,Penryn CBS
1462,Auditorium - Below Seating Rake,Other Space,Support,University
1463,Stores,Workshops,Support,Stores
1464,Riser 01,Balance Space,Other,Balance
1465,Tools,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
1466,Accessible Bedroom,Bedroom,Residential,Residence Operations
1467,Common Room,Social Space,Other,Social Space Streatham
1468,Foyer,Other Space,Other,University College Falmouth
1469,Office,Office,Support,Digital Team
1470,Professor's Office,Office,Academic - Faculty,Clinical and Biomedical Sciences
1471,Used for 'NIGHTLINE' Student Support,Other Space,Other,Student Guild
1472,WC + shower,Balance Space,Other,Balance
1473,Male Staff WC,Balance Space,Other,Other
1474,Hotdesk Office/meeting room,Office,Support,Human Resources
1475,Bedroom,Bedroom,Other,University
1476,Kitchenette,Other Space,Support,University
1477,Analytical Laboratory,Laboratory,Academic - Faculty,Geography
1478,Cleaner,Balance Space,Other,Balance
1479,Balance Space Level 6,Balance Space,Residential,Balance
1480,Office,Office,Academic - Faculty,Clinical and Biomedical Sciences
1481,University Main Reception,Other Space,Support,"Finance, Infrastructure and Commercial Services"
1482,Seminar Room B,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1483,Social Space / Kitchen,Other Space,Support,University
1484,"Post-doc Research Office, plus hot desks",Office,Academic - Faculty,Geography
1485,Academic,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1486,Generators,Balance (Building Service) Space,Other,Balance
1487,Managed space,Office,Support,External Engagement and Global
1488,Welding Area,Specialist Area,Other,University College Falmouth
1489,Lobby to WC,Balance Space,Residential,Balance
1490,Prep/Washup Room,Central Catering,Support,Catering and Food Services
1491,Meeting Room 4,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
1492,Storage,Storage Space,Support,University
1493,General Preperation,Central Catering,Support,Social Space Penryn
1494,Fire Exit Stairwell,Balance Space,Other,Balance
1495,Store,Storage Space,Support,Access Participation and Outreach Office
1496,Task Room,Office,Support,Hubs
1497,Kitchenette,Other Space,Other,University
1498,Music Store 4,Other Space,Other,Student Guild
1499,Pro Tools 3,Specialist Area,Other,University College Falmouth
1500,Understairs,Balance Space,Residential,Balance
1501,Stairwell to Rear Landing,Balance Space,Other,Balance
1502,Office - Falmouth,Office,Other,University College Falmouth
1503,Plant Room - Heat Exchange,Balance (Building Service) Space,Residential,Balance
1504,Plant Stairs,Balance Space,Other,Balance
1505,Balance Space Level 2,Balance Space,Residential,Balance
1506,Meeting Room,Meeting Room,Academic - Faculty,University of Exeter Business School
1507,IT Room,Specialist Area,Academic - Faculty,Faculty of Health and Life Sciences
1508,IT Room,Other Space,Residential,Residence Operations
1509,Corridor West Wing,Balance Space,Other,Balance
1510,Seminar Room,Seminar Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
1511,LT2 Projection Room,Other Space,Academic - Central,Centrally Bookable Space
1512,Staff Office,Office,Academic - Faculty,Faculty of Health and Life Sciences
1513,Service Passageway,Balance Space,Other,Balance
1514,Business Improvement Office,Office,Support,"Finance, Infrastructure and Commercial Services"
1515,Balance,Balance Space,Other,Balance
1516,Hall,Balance Space,Other,Balance
1517,Office,Office,Support,Strategic Marketing
1518,Seminar Room 5,Seminar Room,Other,Other
1519,graphics/IT,Specialist Area,Other,University College Falmouth
1520,Communications Room,Other Space,Support,Combined Services
1521,Main Foyer,Balance Space,Other,Balance
1522,Shower,Balance Space,Other,Balance
1523,Balance Space Level 9,Balance Space,Residential,Balance
1524,AHU for 107,Balance Space,Other,Balance
1525,Blue Seminar,Seminar Room [PS],Academic - Central,Penryn CBS
1526,Staff Studio,Bedroom,Residential,Residence Operations
1527,Panelled Hall,Balance Space,Other,Balance
1528,Store,Storage Space,Support,Estate Services
1529,HRD Office/hotdesk office/meeting room,Office,Support,Human Resources
1530,Screen Wash,Specialist Area,Other,University College Falmouth
1531,Riser 4,Balance Space,Other,Balance
1532,Lift Mechanism Room,Balance Space,Other,Balance
1533,Student Advice Unit,Office,Other,Student Guild
1534,Principal Investigator Office,Office,Academic - Faculty,Clinical and Biomedical Sciences
1535,Stair,Balance Space,Other,Balance
1536,Cupboard,Storage Space,Other,University
1537,Technical Services Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1538,Refectory Cloakroom/Store,Storage Space,Support,Catering and Food Services
1539,Teaching Lab Office,Specialist Area,Academic - Faculty,Faculty of Health and Life Sciences
1540,CHUM Office [access via Queen's 3rd],Office,Academic - Faculty,"Languages, Cultures and Visual Studies"
1541,Mezzanine Link Bridge,Balance Space,Other,Balance
1542,Admin Office,Office,Support,Hubs
1543,Female WC lobby,Balance Space,Other,Balance
1544,Utility Room,Other Space,Residential,Residence Operations
1545,Hotdesk Office,Office,Support,Human Resources
1546,Senate Store,Storage Space,Support,Centrally Bookable Space
1547,Auditorium - Lobby +0 / east,Balance Space,Other,Balance
1548,Bateman LT lobby,Balance Space,Other,Balance
1549,Office,Office,Support,"Finance, Infrastructure and Commercial Services"
1550,Stairwell Lobby,Balance Space,Other,Balance
1551,WC Female,Balance Space,Other,Balance
1552,Utility,Other Space,Other,Other
1553,Door Alcove,Seminar Room,Other,Other
1554,West Wing Foyer,Balance Space,Other,Balance
1555,Pro Rector,Office,Other,University College Falmouth
1556,Timber Store,Workshops,Support,Structural Team
1557,Female Changing,Balance Space,Other,Balance
1558,Stair 04 Lobby,Balance Space,Other,Balance
1559,Access Cupboard,Balance Space,Other,Balance
1560,Student Entrepreneur Team,Other Space,Support,Exeter Innovation
1561,Breakout Space,Study Space,Academic - Faculty,University of Exeter Business School
1562,Landing,Balance Space,Other,Balance
1563,Office,Office,Academic - Faculty,Management
1564,Riser in Retail Unit Store,Balance Space,Other,Balance
1565,Male Locker Room,Other Space,Support,Estate Patrol
1566,English & Writing Office,Office,Other,University College Falmouth
1567,Laser Research,Laboratory,Academic - Faculty,University of Exeter Medical School
1568,Tea Point,Other Space,Support,University
